,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2622,Maruti,"14,190",Alto,2018,Petrol,3.86
2623,Maruti,"50,969",Celerio,2018,CNG,5.13
2624,Honda,"26,736",Jazz,2017,Petrol,6.90
2625,Maruti,"34,278",Baleno,2017,Petrol,6.53
2626,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2627,Mahindra,"46,365",Thar,2017,Diesel,7.72
2628,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2629,Maruti,"76,734",Swift,2015,Diesel,3.76
2630,Maruti,"86,294",Swift,2014,Diesel,4.11
2631,Maruti,"39,781",Baleno,2017,Petrol,5.96
2632,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2633,Hyundai,"45,716",Creta,2018,Petrol,8.99
2634,Maruti,"72,880",Wagon,2011,Petrol,1.70
2635,BMW,"85,000",X5,2015,Diesel,31.25
2636,Ford,"70,000",Endeavour,2017,Diesel,24.60
2637,Honda,"75,000",CR-V,2016,Petrol,11.51
2638,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2639,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2640,Renault,"23,290",KWID,2017,Petrol,3.43
2641,Tata,"96,177",Harrier,2019,Diesel,12.88
2642,Maruti,"14,190",Alto,2018,Petrol,3.86
2643,Maruti,"50,969",Celerio,2018,CNG,5.13
2644,Honda,"26,736",Jazz,2017,Petrol,6.90
2645,Maruti,"34,278",Baleno,2017,Petrol,6.53
2646,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2647,Mahindra,"46,365",Thar,2017,Diesel,7.72
2648,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2649,Maruti,"76,734",Swift,2015,Diesel,3.76
2650,Maruti,"86,294",Swift,2014,Diesel,4.11
2651,Maruti,"39,781",Baleno,2017,Petrol,5.96
2652,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2653,Hyundai,"45,716",Creta,2018,Petrol,8.99
2654,Maruti,"72,880",Wagon,2011,Petrol,1.70
2655,BMW,"85,000",X5,2015,Diesel,31.25
2656,Ford,"70,000",Endeavour,2017,Diesel,24.60
2657,Honda,"75,000",CR-V,2016,Petrol,11.51
